Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0002065,QA31,VerbX_jr34,,normal,minor,always,,General,2024-08-30,,,Chrome v128.0.6613.86,public,2024-08-30,В форме отправки резюме в поле ПIБ отсутствует валидация вводимых символов.,new,open,
0002064,QA31,VerbX_jr34,,normal,minor,always,,General,2024-08-30,,,v128.0.6613.86,public,2024-08-30,Отсутствует маска ввода номера телефона в форме отправки резюме.,new,open,
0002063,QA31,VerbX_jr34,,normal,minor,always,,General,2024-08-30,,,Chrome v128.0.6613.86,public,2024-08-30,При перемотке страницы справа внизу под значком чата появляется значок капчи.,new,open,
0002062,QA31,VerbX_jr34,,normal,minor,always,,General,2024-08-30,,,Chrome v128.0.6613.86,public,2024-08-30,После открытия и закрытия меню значки меню и соцсетей меняют цвет с белого на черный.,new,open,
"0002061,QA31,VerbX_jr34,,low,minor,always,,General,2024-08-30,,,Chrome v128.0.6613.86,public,2024-08-30,""В украинской локализации в меню в поиске отсутствует надпись """"Пошук"""""",new,open,"
"0002060,QA31,VerbX_jr34,,normal,minor,always,,General,2024-08-30,,,Chrome v128.0.6613.86,public,2024-08-30,""В украинской локализации в портфолио надпись """"Сайты"""" на русском."",new,open,"
"0002059,QA31,VerbX_jr34,,low,minor,always,,General,2024-08-30,,,,public,2024-08-30,""В украинской локализации в портфолио надпись """"Порталы"""" на русском."",new,open,"
"0002058,QA31,VerbX_jr34,,normal,minor,always,,General,2024-08-30,,,Chrome v128.0.6613.86,public,2024-08-30,""В украинской локализации в портфолио надпись """"Админки"""" на русском."",new,open,"
"0002057,QA31,VerbX_jr34,,normal,minor,always,,General,2024-08-30,,,Chrome v128.0.6613.86,public,2024-08-30,""В украинской локализации в портфолио надпись """"Боты"""" на русском."",new,open,"
"0002056,QA31,VerbX_jr34,,normal,minor,always,,General,2024-08-30,,,Chrome v128.0.6613.86,public,2024-08-30,""В украинской локализации в портфолио надпись """"Все проекты"""" на русском."",new,open,"
