#,Project,Tracker,Status,Subject,Description,Last notes
23190,QA41-manual,Ошибка,Новая,Отсутствует валидация номера телефона в форме обратной связи.,"*Шаги воспроизведения:*
1. Открыть сайт https://ibis.net.ua/.
2. В футере в списке телефонов открыть форму обратной связи.
3. В поле ввода номера телефона ввести нули.
4. Заполнить корректно поля email и комментарий.
5. Нажать кнопку ""отправить"".

*Ожидаемый результат:*
Сообщение о неверном номере телефона и обязательном требовании ввести корректный номер.
*Фактический результат:*
Успешная отправка данных с неверно заполненным полем ввода номера телефона.",""
23196,QA41-manual,Ошибка,Новая,[L10N] Функционал чата на украинском при выбранной русской локализации.,"*Шаги воспроизведения:*
1. Открыть сайт https://ibis-gear.com/ru/.
2. Выбрать русскую локализацию.
3. В правом нижнем углу открыть чат.

*Ожидаемый результат:*
Функционал чата соответствует выбранной локализации (на русском).
*Фактический результат:*
Функционал чата не соответствует выбранной локализации (на украинском).",""
23193,QA41-manual,Ошибка,Новая,Функционал фильтра товаров по цене работает в заранее ограниченном диапазоне.,"*Шаги воспроизведения:*
1. Открыть сайт https://ibis-gear.com/.
2. Перейти по ссылке в каталоге товаров ""рибальство"" -> ""все для монтажу"" -> ""грузила"" (https://ibis-gear.com/rybalstvo/hruzyla/).
3. В фильтре товаров в ценовом диапазоне изменить минимальную сумму на меньшую, чем заданная 5.8. Прописать 5.7.

*Ожидаемый результат:*
Пользовательское значение позволяет применить фильтр.
*Фактический результат:*
Пользовательское значение не позволяет применить фильтр. ",""
23191,QA41-manual,Ошибка,Новая,Отсутствует валидация номера телефона в регистрации.,"*Шаги воспроизведения:*

*Шаги воспроизведения:*
1. Открыть сайт https://ibis.net.ua/.
2. В футере в открыть форму авторизации и в ней выбрать регистрацию.
3. В поле ввода номера телефона ввести нули.

*Ожидаемый результат:*
Сообщение о неверном номере телефона и обязательном требовании ввести корректный номер.
*Фактический результат:*
Отсутствие уведомления о некорректно введенном номере телефона.",""
23189,QA41-manual,Ошибка,Новая,Количество товаров на странице сбрасывается с выбранных до дефолтных 20 при изменении фильтра.,"*Шаги воспроизведения:*
1. Открыть сайт https://ibis.net.ua/
2. В каталоге товаров перейти по ссылке ""зброя"" -> ""вогнепальна зброя"" (https://ibis.net.ua/zbroia/vohnepalna-zbroia/).
3. В количестве товаров на странице выбрать 60.
4. В фильтре товаров применить любой фильтр.

*Ожидаемый результат:*
Количество товаров на странице осталось 60.
*Фактический результат:*
Количество товаров на странице сбросилось до дефолтных 20.",""
23198,QA41-manual,Ошибка,Новая,[L10N] Баннер на главной странице остаётся на украинском после выбора русской локализации.,"*Шаги воспроизведения:*
1. Открыть сайт https://ibis-gear.com/ru/.
2. Выбрать русскую локализацию.

*Ожидаемый результат:*
Баннер соответствует выбранной локализации (на русском). 
*Фактический результат:*
Баннер на украинском при выбранной русской локализации.",""
23197,QA41-manual,Ошибка,Новая,Украинские надписи в услугах Новой Почты в русской локализации на странице доставки и оплаты.,"*Шаги воспроизведения:*
1. Открыть сайт https://ibis-gear.com/ru/.
2. Выбрать русскую локализацию.
3. Перейти на страницу ""Доставка и оплата"" по ссылке в меню.

*Ожидаемый результат:*
Текст в услугах Новой Почты полностью соответствует выбранной локализации (выбран русский язык).
*Фактический результат:*
Текст в услугах Новой Почты переведен не полностью на русский. Присутствует текст на украинском.",""
23195,QA41-manual,Ошибка,Новая,Баннеры и рисунки на украинском языке в русской локализации на странице акций и новинок.,"*Шаги воспроизведения:*
1. Открыть сайт https://ibis.net.ua/.
2. Выбрать русскую локализацию.
3. Перейти по ссылке в хедере ""Акции и новинки"".

*Ожидаемый результат:*
Рисунки и баннеры соответствуют языку выбранной локализации (на русском).
*Фактический результат:*
Рисунки и баннеры на украинском.",""
23194,QA41-manual,Ошибка,Новая,[L10N] Украинский текст в русской локализации на странице контактов и адресов.,"*Шаги воспроизведения:*
1. Открыть сайт https://ibis-gear.com/ru/contacts/.
2. Выбрать русскую локализацию.
3. Перейти по ссылке в хедере ""магазины"".

*Ожидаемый результат:*
Под номерами телефонов надпись, соответствующая языку русской локализации.
*Фактический результат:*
Под номерами телефонов надпись на украинском "" *тільки для повідомлень*"".
",""
23192,QA41-manual,Ошибка,Новая,Не соответствующая действительности цена на товар с артикулом MREDJBLAX14.,"*Шаги воспроизведения:*

*Шаги воспроизведения:*
1. Открыть сайт https://ibis.net.ua/.
2. В хедере в строке поиска найти товар с артикулом ""MREDJBLAX14"", либо открыть его по ссылке ""https://ibis-gear.com/ekipiruvannia/details/kurtka-montane-resolute-down-jacket-xl-k-black/""

*Ожидаемый результат:*
Цена на товар соответствует действительности.
*Фактический результат:*
Цена на товар *942 770 грн* не соответствует действительности.",""
